Source path,Class name,Simple name,Asset type,Description,Fields
src/main/java/org/ministry/magic/api/CreateWizardRequest.java,org.ministry.magic.api.CreateWizardRequest,CreateWizardRequest,DTO,"DTO create wizard request with fields: firstName, lastName, dateOfBirth, house, patronus and 3 more","firstName, lastName, dateOfBirth, house, patronus, wandWood, wandCore, wandLengthInches"
src/main/java/org/ministry/magic/api/UpdateWizardRequest.java,org.ministry.magic.api.UpdateWizardRequest,UpdateWizardRequest,DTO,"DTO update wizard request with fields: patronus, wandWood, wandCore, wandLengthInches","patronus, wandWood, wandCore, wandLengthInches"
src/main/java/org/ministry/magic/api/WizardResponse.java,org.ministry.magic.api.WizardResponse,WizardResponse,DTO,"DTO wizard response with fields: id, firstName, lastName, dateOfBirth, house and 7 more","id, firstName, lastName, dateOfBirth, house, patronus, wandWood, wandCore, wandLengthInches, status, registeredAt, updatedAt"
