Entity ID,Source path,Service class,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
endpoint:org.ministry.magic.resources.WizardImportResource#importWizards(String),src/main/java/org/ministry/magic/resources/WizardImportResource.java,org.ministry.magic.resources.WizardImportResource,importWizards,POST,/api/wizards/import,,,JAX-RS,"org.ministry.magic.resources.WizardImportResource{name=importWizards,return=jakarta.ws.rs.core.Response,parameters=[java.lang.String]}"
endpoint:org.ministry.magic.resources.WizardReportResource#downloadReport(String),src/main/java/org/ministry/magic/resources/WizardReportResource.java,org.ministry.magic.resources.WizardReportResource,downloadReport,GET,/api/reports/{filename},,,JAX-RS,"org.ministry.magic.resources.WizardReportResource{name=downloadReport,return=jakarta.ws.rs.core.Response,parameters=[java.lang.String]}"
endpoint:org.ministry.magic.resources.WizardResource#registerWizard(CreateWizardRequest),src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,registerWizard,POST,/api/wizards,,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=registerWizard,return=jakarta.ws.rs.core.Response,parameters=[org.ministry.magic.api.CreateWizardRequest]}"
endpoint:org.ministry.magic.resources.WizardResource#getWizard(UUID),src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,getWizard,GET,/api/wizards/{id},,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=getWizard,return=org.ministry.magic.api.WizardResponse,parameters=[java.util.UUID]}"
"endpoint:org.ministry.magic.resources.WizardResource#listWizards(String,String,String)",src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,listWizards,GET,/api/wizards,,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=listWizards,return=java.util.List<org.ministry.magic.api.WizardResponse>,parameters=[java.lang.String,java.lang.String,java.lang.String]}"
"endpoint:org.ministry.magic.resources.WizardResource#updateWizard(UUID,UpdateWizardRequest)",src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,updateWizard,PUT,/api/wizards/{id},,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=updateWizard,return=org.ministry.magic.api.WizardResponse,parameters=[java.util.UUID,org.ministry.magic.api.UpdateWizardRequest]}"
"endpoint:org.ministry.magic.resources.WizardResource#updateStatus(UUID,String)",src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,updateStatus,PATCH,/api/wizards/{id}/status,,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=updateStatus,return=org.ministry.magic.api.WizardResponse,parameters=[java.util.UUID,java.lang.String]}"
endpoint:org.ministry.magic.resources.WizardResource#deregisterWizard(UUID),src/main/java/org/ministry/magic/resources/WizardResource.java,org.ministry.magic.resources.WizardResource,deregisterWizard,DELETE,/api/wizards/{id},,,JAX-RS,"org.ministry.magic.resources.WizardResource{name=deregisterWizard,return=jakarta.ws.rs.core.Response,parameters=[java.util.UUID]}"
